"Image type","Feature Class","Feature Name","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_203","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_204","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_205","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_206","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_208","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_209","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_211","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_212","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_215","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_226","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7001","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7003","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7005","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7006","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7007","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7008","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7009","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7010","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7015"
"diagnostics","Image-original","Size","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)"
"diagnostics","Image-original","Mean","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235","16.040605664253235"
"diagnostics","Image-original","Minimum","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"diagnostics","Image-original","Maximum","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0"
"diagnostics","Mask-original","Hash","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0","ea02f034badbd1b662195f5ebd80384683e547b0"
"diagnostics","Mask-original","Spacing","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
"diagnostics","Mask-original","Size","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)","(256, 256, 256)"
"diagnostics","Mask-original","BoundingBox","(141, 142, 110, 7, 6, 13)","(141, 142, 91, 12, 5, 32)","(144, 141, 91, 15, 10, 35)","(139, 139, 90, 24, 11, 34)","(144, 139, 88, 17, 8, 27)","(144, 141, 89, 15, 8, 29)","(140, 137, 110, 9, 3, 11)","(149, 141, 88, 9, 5, 21)","(143, 142, 91, 16, 5, 32)","(135, 141, 82, 23, 10, 11)","(147, 135, 114, 14, 11, 15)","(141, 134, 114, 15, 8, 13)","(149, 133, 111, 8, 5, 7)","(146, 132, 110, 4, 6, 8)","(144, 133, 111, 6, 5, 7)","(142, 133, 112, 9, 7, 12)","(139, 133, 112, 11, 7, 13)","(147, 133, 123, 8, 3, 4)","(141, 138, 118, 11, 5, 9)"
"diagnostics","Mask-original","VoxelNum","46","302","365","692","247","571","64","76","38","461","544","341","32","5","17","203","160","23","29"
"diagnostics","Mask-original","VolumeNum","1","1","1","1","2","1","1","3","13","1","1","1","2","2","1","1","1","1","3"
"diagnostics","Mask-original","CenterOfMassIndex","(144.93478260869566, 144.52173913043478, 116.80434782608695)","(147.54635761589404, 144.66887417218544, 104.34105960264901)","(152.93698630136987, 146.17808219178082, 105.41369863013699)","(152.4508670520231, 142.7471098265896, 111.75867052023122)","(153.06882591093117, 142.834008097166, 103.76113360323886)","(152.79334500875657, 144.19264448336253, 104.20140105078809)","(143.796875, 138.296875, 114.046875)","(153.0, 143.28947368421052, 95.38157894736842)","(149.6578947368421, 143.89473684210526, 106.84210526315789)","(146.5119305856833, 145.3817787418655, 87.25596529284165)","(153.45404411764707, 139.09191176470588, 122.91727941176471)","(147.87976539589442, 137.34310850439883, 121.0117302052786)","(150.875, 134.46875, 113.84375)","(147.2, 133.8, 114.2)","(146.35294117647058, 134.47058823529412, 113.94117647058823)","(146.6305418719212, 135.6551724137931, 117.3152709359606)","(143.2125, 135.8125, 118.45625)","(150.7391304347826, 133.91304347826087, 124.65217391304348)","(146.68965517241378, 140.41379310344828, 122.24137931034483)"
"diagnostics","Mask-original","CenterOfMass","(21.605752571769386, -20.428787065588907, -13.59167254489401)","(24.21732757896777, -7.965498842150964, -13.738807586644668)","(29.6079562644436, -9.038137869638945, -15.248015606240045)","(29.121837015096844, -15.383109759733173, -11.817043241048822)","(29.739795874004898, -7.385572842740814, -11.90394151162522)","(29.464314971830305, -7.825840290290046, -13.262577897821757)","(20.46784496307373, -17.671314239501953, -7.3668084144592285)","(29.67096996307373, 0.9939818131296221, -12.359407098669749)","(26.32886469991584, -10.466544502659843, -12.964670256564489)","(23.182900548757033, 9.119595467656396, -14.451712156324731)","(30.125014080720803, -26.541718651266663, -8.161845179165113)","(24.550735358968154, -24.63616944478055, -6.413041918858056)","(27.54596996307373, -17.468189239501953, -3.5386834144592285)","(23.87096996307372, -17.824439239501956, -2.86993341445924)","(23.02391113954431, -17.565615710090185, -3.5405216497533445)","(23.301511834994926, -20.93971017546255, -4.725105828252339)","(19.883469963073736, -22.08068923950195, -4.8824334144592285)","(27.410100397856326, -28.276613152545437, -2.982976892720103)","(23.36062513548751, -25.86581854984678, -9.483726517907513)"
"diagnostics","Image-interpolated","Spacing","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
"diagnostics","Image-interpolated","Size","(17, 16, 23)","(22, 15, 42)","(25, 20, 45)","(34, 21, 44)","(27, 18, 37)","(25, 18, 39)","(19, 13, 21)","(19, 15, 31)","(26, 15, 42)","(33, 20, 21)","(24, 21, 25)","(25, 18, 23)","(18, 15, 17)","(14, 16, 18)","(16, 15, 17)","(19, 17, 22)","(21, 17, 23)","(18, 13, 14)","(21, 15, 19)"
"diagnostics","Image-interpolated","Mean","88.16831841432226","90.24011544011545","88.57511111111111","89.56964604023428","92.98226003781559","90.57099715099716","87.69693464430307","94.01075268817205","90.09896214896214","87.0540404040404","83.75047619047619","88.08628019323672","90.2004357298475","93.02405753968254","92.53186274509804","89.9805797917253","90.06941907197661","84.59432234432235","84.04461152882206"
"diagnostics","Image-interpolated","Minimum","9.0","9.0","0.0","0.0","2.0","0.0","13.0","2.0","7.0","2.0","9.0","11.0","11.0","21.0","21.0","12.0","11.0","11.0","12.0"
"diagnostics","Image-interpolated","Maximum","244.0","244.0","242.0","250.0","242.0","242.0","255.0","242.0","242.0","244.0","254.0","255.0","203.0","203.0","233.0","255.0","255.0","255.0","253.0"
"diagnostics","Mask-interpolated","Spacing","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
"diagnostics","Mask-interpolated","Size","(17, 16, 23)","(22, 15, 42)","(25, 20, 45)","(34, 21, 44)","(27, 18, 37)","(25, 18, 39)","(19, 13, 21)","(19, 15, 31)","(26, 15, 42)","(33, 20, 21)","(24, 21, 25)","(25, 18, 23)","(18, 15, 17)","(14, 16, 18)","(16, 15, 17)","(19, 17, 22)","(21, 17, 23)","(18, 13, 14)","(21, 15, 19)"
"diagnostics","Mask-interpolated","BoundingBox","(5, 5, 5, 7, 6, 13)","(5, 5, 5, 12, 5, 32)","(5, 5, 5, 15, 10, 35)","(5, 5, 5, 24, 11, 34)","(5, 5, 5, 17, 8, 27)","(5, 5, 5, 15, 8, 29)","(5, 5, 5, 9, 3, 11)","(5, 5, 5, 9, 5, 21)","(5, 5, 5, 16, 5, 32)","(5, 5, 5, 23, 10, 11)","(5, 5, 5, 14, 11, 15)","(5, 5, 5, 15, 8, 13)","(5, 5, 5, 8, 5, 7)","(5, 5, 5, 4, 6, 8)","(5, 5, 5, 6, 5, 7)","(5, 5, 5, 9, 7, 12)","(5, 5, 5, 11, 7, 13)","(5, 5, 5, 8, 3, 4)","(5, 5, 5, 11, 5, 9)"
"diagnostics","Mask-interpolated","VoxelNum","46","302","365","692","247","571","64","76","38","461","544","341","32","5","17","203","160","23","29"
"diagnostics","Mask-interpolated","VolumeNum","1","1","1","1","2","1","1","3","13","1","1","1","2","2","1","1","1","1","3"
"diagnostics","Mask-interpolated","CenterOfMassIndex","(8.934782608695652, 7.521739130434782, 11.804347826086957)","(11.54635761589404, 7.66887417218543, 18.341059602649008)","(13.936986301369863, 10.178082191780822, 19.413698630136988)","(18.45086705202312, 8.747109826589595, 26.758670520231213)","(14.068825910931174, 8.834008097165992, 20.761133603238868)","(13.793345008756567, 8.192644483362521, 20.201401050788093)","(8.796875, 6.296875, 9.046875)","(9.0, 7.2894736842105265, 12.381578947368421)","(11.657894736842104, 6.894736842105263, 20.842105263157894)","(16.5119305856833, 9.38177874186551, 10.25596529284165)","(11.454044117647058, 9.091911764705882, 13.917279411764707)","(11.879765395894427, 8.343108504398828, 12.011730205278592)","(6.875, 6.46875, 7.84375)","(6.2, 6.8, 9.2)","(7.352941176470588, 6.470588235294118, 7.9411764705882355)","(9.630541871921181, 7.655172413793103, 10.31527093596059)","(9.2125, 7.8125, 11.45625)","(8.73913043478261, 5.913043478260869, 6.6521739130434785)","(10.689655172413794, 7.413793103448276, 9.241379310344827)"
"diagnostics","Mask-interpolated","CenterOfMass","(21.605757340140965, -20.428783250891644, -13.591670160708219)","(24.21733234733935, -7.965495027453695, -13.738805202458867)","(29.607961032815176, -9.038134054941676, -15.24801322205426)","(29.121841783468433, -15.3831059450359, -11.817040856863033)","(29.739800642376487, -7.385569028043555, -11.903939127439429)","(29.46431974020188, -7.82583647559278, -13.262575513635959)","(20.467849731445312, -17.671310424804688, -7.3668060302734375)","(29.670974731445312, 0.9939856278268913, -12.359404714483965)","(26.328869468287415, -10.466540687962581, -12.964667872378701)","(23.18290531712861, 9.119599282353663, -14.451709772138948)","(30.12501884909237, -26.541714836569394, -8.16184279497932)","(24.55074012733974, -24.63616563008328, -6.413039534672265)","(27.545974731445312, -17.468185424804688, -3.5386810302734375)","(23.870974731445312, -17.824435424804687, -2.8699310302734373)","(23.0239159079159, -17.565611895392923, -3.5405192655675553)","(23.301516603366494, -20.93970636076528, -4.725103444066541)","(19.88347473144531, -22.080685424804688, -4.8824310302734375)","(27.410105166227922, -28.276609337848164, -2.9829745085343067)","(23.360629903859106, -25.865814735149513, -9.483724133721713)"
"diagnostics","Mask-interpolated","Mean","81.73913043478261","82.04304635761589","77.7095890410959","77.15751445086705","79.89473684210526","79.64973730297723","78.3125","96.0657894736842","70.5","78.9240780911063","77.23529411764706","76.99706744868035","81.84375","81.0","80.70588235294117","77.98029556650246","76.7125","79.21739130434783","79.06896551724138"
"diagnostics","Mask-interpolated","Minimum","66.0","62.0","53.0","58.0","62.0","58.0","65.0","81.0","56.0","54.0","53.0","60.0","73.0","75.0","59.0","58.0","63.0","64.0","63.0"
