,,0
lh_203_42,lh_205_43,0.5789433865978979
lh_203_42,lh_206_42,0.7089575053500459
lh_203_42,lh_215_37,0.5486360654580869
lh_203_42,lh_215_40,0.5199052631444043
lh_203_42,lh_215_43,0.5899534034587137
lh_203_42,lh_7008_42,0.5435700033672997
lh_203_58,lh_203_62,0.8101236396089504
lh_203_58,lh_203_68,0.9834988540870894
lh_203_58,lh_203_136,0.5217172597259675
lh_203_62,lh_203_68,0.8489126783714531
lh_203_62,lh_203_136,0.5798754870226497
lh_203_62,lh_208_135,0.5312411830516679
lh_203_68,lh_203_136,0.5662166730555354
lh_203_68,lh_208_135,0.5229946524064171
lh_203_121,lh_203_129,0.6452253628724217
lh_203_121,lh_208_99,0.5086325439266616
lh_203_121,lh_208_110,0.5165775401069519
lh_203_121,lh_212_74,0.5242169595110772
lh_203_121,lh_7008_102,0.546524064171123
lh_203_121,lh_7008_129,0.6201680672268908
lh_203_129,lh_203_136,0.6503052196231324
lh_203_132,lh_203_136,0.6655981997734857
lh_203_132,lh_206_42,0.5235526678724222
lh_205_43,lh_215_43,0.535413798378461
lh_206_42,lh_212_83,0.5257125529737656
lh_206_42,lh_215_37,0.5924963860114214
lh_206_42,lh_215_43,0.6933252284297067
lh_206_42,lh_215_46,0.502330570239758
lh_206_42,lh_7008_42,0.5886316123726957
lh_206_104,lh_206_127,0.7961802902979374
lh_206_104,lh_208_105,0.5171886936592819
lh_206_104,lh_208_135,0.5058823529411764
lh_206_127,lh_209_48,0.5330786860198625
lh_208_62,lh_208_126,0.547183679163456
lh_208_62,lh_208_141,0.609377066304862
lh_208_62,lh_226_56,0.5353878448304406
lh_208_62,lh_226_65,0.6332742061599546
lh_208_62,lh_7001_69,0.5703144338494222
lh_208_62,lh_7001_85,0.5678634451463357
lh_208_62,lh_7001_99,0.567250697970564
lh_208_62,lh_7001_103,0.5577531167461042
lh_208_62,lh_7003_62,0.5221130282691233
lh_208_69,lh_208_85,0.99938884644767
lh_208_69,lh_208_99,0.973109243697479
lh_208_69,lh_208_102,0.5553857906799083
